date,Australia,Brazil,Canada,China,Denmark,Euro,Hong Kong,India,Japan,Malaysia,Mexico,New Zealand,Norway,Singapore,South Africa,South Korea,Sweden,Switzerland,Taiwan,Thailand,Venezuela
1971-01-01,0.8803,0.0,1.0099,0.0,7.4048,0.0,0.0,0.0,347.7857,3.0318,0.0,0.88,7.0222,0.0,0.7129,0.0,5.1051,4.1171,0.0,0.0,0.0
1972-01-01,0.8387,0.0,0.9907,0.0,6.9531,0.0,0.0,0.0,303.125,2.8085,0.0,0.8379,6.5875,0.0,0.7732,0.0,4.7571,3.8186,0.0,0.0,0.0
1973-01-01,0.7047,0.0,1.0002,0.0,6.0447,0.0,0.0,7.6541,271.3055,2.4468,0.0,0.7355,5.7535,0.0,0.6964,0.0,4.3619,3.1688,0.0,0.0,0.0
1974-01-01,0.695,0.0,0.978,0.0,6.0925,0.0,0.0,8.0289,291.8446,2.407,0.0,0.7142,5.5255,0.0,0.6806,0.0,4.4387,2.9805,0.0,0.0,0.0
1975-01-01,0.7647,0.0,1.0175,0.0,5.7481,0.0,0.0,8.4086,296.7849,2.4029,0.0,0.8254,5.2283,0.0,0.7408,0.0,4.1531,2.5839,0.0,0.0,0.0
1976-01-01,0.8187,0.0,0.9863,0.0,6.0461,0.0,0.0,8.9715,296.4544,2.5422,0.0,1.0089,5.459,0.0,0.8707,0.0,4.358,2.5002,0.0,0.0,0.0
1977-01-01,0.9024,0.0,1.0633,0.0,6.005,0.0,0.0,8.7683,268.6194,2.4625,0.0,1.0321,5.324,0.0,0.8697,0.0,4.4802,2.4065,0.0,0.0,0.0
1978-01-01,0.874,0.0,1.1405,0.0,5.5162,0.0,0.0,8.1979,210.3854,2.3168,0.0,0.9649,5.2467,0.0,0.8695,0.0,4.5207,1.7907,0.0,0.0,0.0
1979-01-01,0.8947,0.0,1.1713,0.0,5.2623,0.0,0.0,8.1564,219.0168,2.1883,0.0,0.9782,5.0651,0.0,0.8424,0.0,4.2893,1.6644,0.0,0.0,0.0
1980-01-01,0.8776,0.0,1.1693,0.0,5.6346,0.0,0.0,7.8868,226.6309,2.1768,0.0,1.0273,4.9382,0.0,0.7796,0.0,4.231,1.6772,0.0,0.0,0.0
1981-01-01,0.8699,0.0,1.199,1.71,7.1351,0.0,5.5901,8.6807,220.6281,2.3048,0.0,1.1514,5.7431,2.1138,0.8787,686.0734,5.066,1.9675,0.0,21.8185,0.0
1982-01-01,0.9838,0.0,1.2344,1.8979,8.3444,0.0,6.0698,9.4847,249.0601,2.3356,0.0,1.3316,6.4568,2.1406,1.0876,731.9442,6.2839,2.0319,0.0,23.0143,0.0
1983-01-01,1.1094,0.0,1.2325,1.981,9.1484,0.0,7.257,10.1041,237.5535,2.3205,0.0,1.4972,7.3013,2.1137,1.1146,776.0494,7.6718,2.1007,39.285,22.9917,0.0
1984-01-01,1.137,0.0,1.2952,2.3303,10.3541,0.0,7.8189,11.3465,237.4622,2.3428,0.0,1.7289,8.1597,2.1327,1.4761,807.9294,8.2708,2.35,39.636,23.5829,0.0
1985-01-01,1.428,0.0,1.3659,2.9434,10.5983,0.0,7.7912,12.3318,238.4673,2.4807,0.0,2.0101,8.5934,2.2009,2.2344,872.4466,8.6032,2.4552,39.9,27.1941,0.0
1986-01-01,1.4905,0.0,1.3896,3.4616,8.0955,0.0,7.8038,12.5967,168.3496,2.5831,0.0,1.9062,7.3985,2.1783,2.2919,884.5968,7.1273,1.7979,37.8516,26.315,0.0
1987-01-01,1.4257,0.0,1.3259,3.7314,6.8478,0.0,7.7986,12.9469,144.6023,2.5186,0.0,1.6855,6.7409,2.1059,2.0385,826.1587,6.3469,1.4918,31.753,25.7708,0.0
1988-01-01,1.2753,0.0,1.2306,3.7314,6.7412,0.0,7.8068,13.8995,128.1742,2.619,0.0,1.5253,6.5243,2.0133,2.277,734.5231,6.137,1.4643,28.6364,25.3123,0.0
1989-01-01,1.2628,0.0,1.1842,3.7673,7.321,0.0,7.8008,16.2131,138.0738,2.7079,0.0,1.6725,6.9131,1.9511,2.6243,674.1286,6.4559,1.6369,26.4067,25.7195,0.0
1990-01-01,1.2809,0.0,1.1668,4.7921,6.1899,0.0,7.7899,17.4922,144.9987,2.7049,0.0,1.6773,6.2621,1.8134,2.5885,710.644,5.9231,1.3901,26.9179,25.6094,0.0
1991-01-01,1.2842,0.0,1.146,5.3337,6.4038,0.0,7.7712,22.7116,134.5909,2.7503,0.0,1.7292,6.4912,1.7283,2.7633,736.7331,6.0521,1.4356,26.7593,25.5416,0.0
1992-01-01,1.3602,0.0,1.2085,5.5206,6.0372,0.0,7.7402,28.1558,126.7801,2.5463,0.0,1.8591,6.2142,1.6294,2.8524,784.6608,5.8258,1.4064,25.1603,25.411,0.0
1993-01-01,1.4708,0.0,1.2902,5.7795,6.4863,0.0,7.7357,31.2911,111.0755,2.5738,3.1237,1.8474,7.1009,1.6158,3.2721,805.7516,7.7956,1.4781,26.4155,25.3326,0.0
1994-01-01,1.3669,0.0,1.3664,8.6397,6.3561,0.0,7.729,31.3939,102.179,2.6237,3.3853,1.6846,7.0553,1.5275,3.5526,806.9319,7.7161,1.3667,26.4648,25.1608,0.0
1995-01-01,1.3501,0.9161,1.3725,8.37,5.5999,0.0,7.7357,32.4181,93.9649,2.5073,6.4467,1.5237,6.3355,1.4171,3.6284,772.6853,7.1406,1.1812,26.4955,24.9214,0.1748
1996-01-01,1.2775,1.0051,1.3638,8.3389,5.8003,0.0,7.7345,35.506,108.78,2.5154,7.6004,1.4541,6.4594,1.41,4.3011,804.9968,6.7082,1.2361,27.468,25.3587,0.4172
1997-01-01,1.3446,1.0779,1.3849,8.3193,6.6092,0.0,7.7431,36.3645,121.0581,2.8173,7.9177,1.5094,7.0857,1.4857,4.6072,953.1904,7.6447,1.4514,28.7751,31.0722,0.4889
1998-01-01,1.5896,1.1605,1.4836,8.3008,6.703,0.0,7.7467,41.3561,130.9892,3.9254,9.1521,1.8653,7.5521,1.6722,5.5417,1400.4036,7.9522,1.4506,33.5473,41.2623,0.5484
1999-01-01,1.5494,1.8207,1.4858,8.2783,6.99,0.9387,7.7594,43.1274,113.7342,3.8,9.5533,1.8896,7.8071,1.6951,6.1191,1189.8361,8.274,1.5045,32.3222,37.8871,0.6068
2000-01-01,1.7197,1.8301,1.4855,8.2784,8.0953,1.0832,7.7924,44.9975,107.804,3.8,9.4586,2.1891,8.8131,1.725,6.9468,1130.8975,9.1735,1.6904,31.2599,40.2098,0.6805
2001-01-01,1.9346,2.3527,1.5487,8.277,8.3323,1.1171,7.7997,47.22,121.568,3.8,9.3366,2.3798,8.9964,1.793,8.6093,1292.0149,10.3425,1.6891,33.8243,44.5319,0.7241
2002-01-01,1.8392,2.9213,1.5704,8.2771,7.8862,1.0578,7.7996,48.6257,125.2204,3.8,9.6633,2.1529,7.9839,1.7908,10.5176,1250.314,9.7233,1.5567,34.5363,43.0192,1.1612
2003-01-01,1.5328,3.075,1.4008,8.2772,6.5774,0.8833,7.7875,46.5908,115.9387,3.8,10.7925,1.7176,7.0803,1.7429,7.555,1192.0817,8.0787,1.345,34.4047,41.5559,1.6134
2004-01-01,1.3578,2.9262,1.3017,8.2768,5.9891,0.804,7.7891,45.261,108.1508,3.8,11.2897,1.5053,6.7399,1.6902,6.4402,1145.2364,7.348,1.2428,33.3719,40.2711,1.8861
2005-01-01,1.3111,2.4352,1.2115,8.1936,5.9953,0.8033,7.7775,44.0002,110.1069,3.7869,10.8938,1.4186,6.4412,1.6639,6.3606,1023.7492,7.471,1.2459,32.1312,40.2516,2.1071
2006-01-01,1.3271,2.1738,1.134,7.9723,5.9422,0.796,7.7681,45.1861,116.3121,3.6661,10.9056,1.5404,6.4095,1.5882,6.7668,954.321,7.3718,1.2532,32.5065,37.8763,2.1446
2007-01-01,1.1918,1.9461,1.0734,7.6058,5.4413,0.7293,7.8016,41.1774,117.7623,3.4354,10.9281,1.3578,5.8557,1.5065,7.0477,928.9717,6.755,1.1999,32.8547,32.203,2.1446
2008-01-01,1.1714,1.8326,1.066,6.9477,5.0885,0.6791,7.7862,43.3859,103.3906,3.3292,11.1425,1.3984,5.6365,1.414,8.248,1098.7061,6.5846,1.0816,31.5205,32.9624,2.1446
2009-01-01,1.2615,1.9976,1.1412,6.8307,5.3574,0.7176,7.7514,48.3324,93.6827,3.5231,13.4979,1.5728,6.2908,1.4543,8.4117,1274.6252,7.6539,1.086,33.02,34.3104,2.1445
2010-01-01,1.087,1.76,1.0298,6.7696,5.6265,0.7541,7.7687,45.6507,87.7817,3.2175,12.6237,1.3858,6.0451,1.3629,7.3159,1155.7389,7.2053,1.0432,31.4974,31.6997,4.238
2011-01-01,0.9679,1.6723,0.9887,6.463,5.3535,0.7178,7.7841,46.5782,79.6967,3.0564,12.427,1.2626,5.6022,1.2565,7.251,1106.94,6.4878,0.8862,29.3822,30.4622,4.2893
2012-01-01,0.9653,1.9535,0.9995,6.3093,5.7922,0.7777,7.7569,53.3743,79.818,3.0862,13.1539,1.2338,5.8181,1.2492,8.2014,1126.1621,6.7721,0.9377,29.5581,31.0546,4.2893
2013-01-01,1.0327,2.157,1.03,6.1478,5.617,0.753,7.7565,58.5149,97.5971,3.1488,12.7584,1.2189,5.8772,1.2511,9.6436,1094.6749,6.5124,0.9269,29.68,30.6963,6.0697
2014-01-01,1.1069,2.3512,1.1043,6.162,5.6151,0.752,7.7545,60.9953,105.7398,3.2697,13.3022,1.2029,6.2969,1.2665,10.842,1052.2924,6.8576,0.9147,30.2992,32.4615,6.2842
2015-01-01,1.3294,3.336,1.2791,6.2827,6.7263,0.9012,7.7524,64.1073,121.0491,3.9041,15.8735,1.4284,8.0681,1.3746,12.7645,1130.9603,8.435,0.9628,31.7443,34.2415,6.2842
2016-01-01,1.3432,3.4839,1.3243,6.64,6.7276,0.9032,7.762,67.1572,108.6569,4.1372,18.6674,1.4335,8.3936,1.38,14.6821,1159.3422,8.5541,0.9848,32.2264,35.2635,9.2839
2017-01-01,1.3036,3.191,1.2984,6.7569,6.5957,0.8849,7.7926,65.0659,112.0986,4.2982,18.8841,1.4063,8.2679,1.3802,13.2943,1129.0435,8.543,0.9842,30.4016,33.9134,9.975
2018-01-01,1.3367,3.6513,1.2957,6.609,6.3131,0.8462,7.8376,68.3734,110.3974,4.0307,19.2179,1.4432,8.1318,1.3486,13.2255,1099.2926,8.6945,0.9784,30.1294,32.3035,4389736.7765
2019-01-01,1.4384,3.944,1.3269,6.9081,6.6703,0.8933,7.8351,70.3777,109.0188,4.1416,19.2469,1.5172,8.8001,1.3641,14.4475,1165.8016,9.4604,0.9937,30.9049,31.0419,13269.1708
2020-01-01,1.4495,5.1587,1.3422,6.9042,6.543,0.8764,7.7559,74.1429,106.7754,4.2029,21.5462,1.5389,9.4283,1.38,16.4932,1180.5554,9.2167,0.9389,29.4568,31.307,309968.3921
